# id	length	x	y	z	rot_z	rot_y	rot_x
0	0.190	0.000	0.000	-0.320	1.571	0.000	0.000
1	0.290	0.000	0.730	-0.320	1.571	0.000	0.000
2	0.290	0.000	1.420	-0.320	1.571	0.000	0.000
3	0.290	0.000	2.110	-0.320	1.571	0.000	0.000
4	0.290	-0.720	-0.730	-0.320	-1.571	0.000	0.000
5	0.290	-0.360	0.730	-0.320	-1.571	0.000	0.000
6	0.290	-0.360	1.420	-0.320	-1.571	0.000	0.000
7	0.290	-0.360	2.110	-0.320	-1.571	0.000	0.000
8	0.290	-0.360	0.000	-0.320	-1.571	0.000	0.000
9	0.290	0.480	0.000	-0.320	-1.571	0.000	0.000
10	0.290	0.480	0.730	-0.320	-1.571	0.000	0.000
11	0.290	-0.720	0.730	-0.320	1.571	0.000	0.000
12	0.290	-0.720	1.420	-0.320	1.571	0.000	0.000
13	0.290	-0.720	2.110	-0.320	1.571	0.000	0.000
14	0.290	0.480	1.420	-0.320	-1.571	0.000	0.000
15	0.290	-0.720	0.000	-0.320	-1.571	0.000	0.000
16	0.290	-0.360	-0.730	-0.320	1.571	0.000	0.000
20	0.290	0.000	-0.730	-0.320	1.571	0.000	0.000
18	0.290	0.480	-0.730	-0.320	1.571	0.000	0.000
19	0.290	0.480	2.110	-0.320	1.571	0.000	0.000
